,UTC Time,Lat,Long,Depth,Mag,Network,RMS,ERH,ERZ,GAP,Q,Int,nStat,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Color
55,2020-06-30 20:30,17.9268,-66.5788,6.0,2.56 ml,RSPR,0.18,0.38,0.26,191.0,C,I,23,2020-06-30 20:30,17.9268,-66.5788,6.0,2.56,ml,23.0,191.0,0.1192,0.18,pr,pr2020182007,2020-09-05T17:35:37.040Z,"10 km SSE of Ponce, Puerto Rico",earthquake,0.38,0.26,0.0,0,reviewed,pr,pr,Amarillo
56,2020-07-03 21:00,17.9503,-67.0171,6.0,4.11 md,RSPR,0.11,0.5,0.27,218.0,B,IV,25,2020-07-03 21:00,17.9503,-67.0171,6.0,4.11,md,25.0,218.0,0.0332,0.11,pr,pr2020185016,2020-09-11T22:14:04.040Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.5,0.27,0.09,12,reviewed,pr,pr,Amarillo
57,2020-07-08 21:15,17.7711,-66.8733,12.0,2.60 md,RSPR,0.2,0.86,0.65,274.0,C,III,16,2020-07-08 21:15,17.7711,-66.8733,12.0,2.6,md,16.0,274.0,0.2041,0.2,pr,pr2020190004,2020-09-19T20:57:58.040Z,"22 km S of GuÃ¡nica, Puerto Rico",earthquake,0.86,0.65,0.11,9,reviewed,pr,pr,Amarillo
58,2020-07-12 12:52,18.7241,-64.9516,13.0,3.70 md,RSPR,0.34,13.91,19.92,324.0,C,III,18,2020-07-12 12:52,18.7241,-64.9516,13.0,3.7,md,18.0,324.0,1.0695,0.34,pr,pr2020194004,2020-09-19T20:58:12.040Z,"42 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,13.91,19.92,0.06,10,reviewed,pr,pr,Amarillo
59,2020-07-13 15:40,19.0623,-65.9696,38.0,3.36 md,RSPR,0.3,1.51,6.66,287.0,C,I,18,2020-07-13 15:40,19.0623,-65.9696,38.0,3.36,md,18.0,287.0,0.8099,0.3,pr,pr2020195004,2020-09-19T20:58:16.040Z,"67 km NNE of San Juan, Puerto Rico",earthquake,1.51,6.66,0.16,11,reviewed,pr,pr,Amarillo
60,2020-07-16 20:02,18.2246,-66.832,12.0,3.07 md,RSPR,0.21,0.28,0.74,78.0,A,III,22,2020-07-16 20:02,18.2246,-66.832,12.0,3.07,md,22.0,78.0,0.1448,0.21,pr,pr2020198002,2020-09-26T16:58:33.040Z,"9 km SSE of Lares, Puerto Rico",earthquake,0.28,0.74,0.32,19,reviewed,pr,pr,Amarillo
61,2020-07-26 10:39,18.7076,-64.5985,30.0,4.03 md,RSPR,0.4,2.62,25.45,218.0,C,IV,24,2020-07-26 10:39,18.7076,-64.5985,30.0,4.03,md,24.0,218.0,1.3723,0.4,pr,pr2020208003,2020-10-03T17:32:24.040Z,"46 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.62,25.45,0.08,17,reviewed,pr,pr,Amarillo
62,2020-07-31 03:24,18.0333,-64.7961,29.0,3.57 md,RSPR,0.39,4.06,29.49,343.0,C,I,22,2020-07-31 03:24,18.0333,-64.7961,29.0,3.57,md,22.0,343.0,1.0583,0.39,pr,pr2020213008,2020-10-10T17:11:22.040Z,"32 km S of Cruz Bay, U.S. Virgin Islands",earthquake,4.059,29.49,0.12,10,reviewed,pr,pr,Amarillo
63,2020-08-12 05:52,17.9005,-66.8915,7.0,1.84 md,RSPR,0.21,1.35,0.62,285.0,C,I,5,2020-08-12 05:52,18.8944,-65.178,13.18,2.6,ml,,228.0,0.982,0.46,us,us6000bd53,2020-10-24T20:08:45.040Z,"66 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.9,13.6,0.07,27,reviewed,us,us,A verde
64,2020-08-15 03:37,18.745,-64.6005,30.0,3.85 md,RSPR,0.38,2.84,24.37,335.0,C,IV,21,2020-08-15 03:37,18.745,-64.6005,30.0,3.85,md,21.0,335.0,1.3863,0.38,pr,pr2020228001,2020-10-24T20:08:52.040Z,"50 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.84,24.37,0.15,21,reviewed,pr,pr,Amarillo
65,2020-08-16 08:58,18.7866,-67.3525,53.0,3.16 md,RSPR,0.26,1.07,1.72,216.0,C,I,20,2020-08-16 08:58,18.7866,-67.3525,53.0,3.16,md,20.0,216.0,0.4001,0.26,pr,pr2020229013,2020-10-24T20:08:55.040Z,"42 km NW of San Antonio, Puerto Rico",earthquake,1.07,1.72,0.1,14,reviewed,pr,pr,Amarillo
66,2020-08-24 13:54,18.9963,-67.163,10.0,3.36 md,RSPR,0.37,1.19,2.44,236.0,C,I,17,2020-08-24 13:54,18.9963,-67.163,10.0,3.36,md,17.0,236.0,0.5313,0.37,pr,pr2020237006,2020-10-31T19:06:22.040Z,"56 km N of San Antonio, Puerto Rico",earthquake,1.19,2.44,0.02,9,reviewed,pr,pr,Amarillo
67,2020-08-24 15:50,19.016,-67.1606,8.0,3.65 md,RSPR,0.28,0.87,1.07,237.0,C,I,23,2020-08-24 15:50,19.016,-67.1606,8.0,3.65,md,23.0,237.0,0.5507,0.28,pr,pr2020237007,2020-10-31T19:06:23.040Z,"58 km N of San Antonio, Puerto Rico",earthquake,0.87,1.07,0.08,15,reviewed,pr,pr,Amarillo
68,2020-08-24 16:03,18.9556,-67.1003,8.0,3.20 md,RSPR,0.41,1.27,1.8,233.0,C,I,16,2020-08-24 16:03,18.9556,-67.1003,8.0,3.2,md,16.0,233.0,0.4882,0.41,pr,pr2020237008,2020-10-31T19:06:23.040Z,"50 km N of Isabela, Puerto Rico",earthquake,1.27,1.8,0.17,8,reviewed,pr,pr,Amarillo
69,2020-09-04 20:05,18.2838,-65.4576,116.0,3.69 md,RSPR,0.27,2.38,1.09,322.0,C,I,15,2020-09-04 20:05,18.2838,-65.4576,116.0,3.69,md,15.0,322.0,0.4161,0.27,pr,pr2020248006,2020-11-17T19:44:36.040Z,"14 km N of Isabel Segunda, Puerto Rico",earthquake,2.38,1.09,0.13,13,reviewed,pr,pr,Amarillo
